word,Pleasantness,P_Deviation,Activation,A_Deviation,Imagery,I_Deviation,Words found from dictionary
allies,1.85710,0.00710,1.60000,0.07000,2.20000,0.68000,1
allocation,2.00000,0.15000,1.41670,0.25330,1.20000,0.32000,1
allotment,1.77780,0.07220,1.58330,0.08670,1.20000,0.32000,1
allotted,1.50000,0.35000,1.14290,0.52710,1.20000,0.32000,1
allow,2.33330,0.48330,1.00000,0.67000,1.40000,0.12000,1
allowance,2.50000,0.65000,1.28570,0.38430,2.60000,1.08000,1
allowances,2.70000,0.85000,1.84620,0.17620,1.80000,0.28000,1
allowed,2.00000,0.15000,1.37500,0.29500,2.00000,0.48000,1
allowing,1.75000,0.10000,1.42860,0.24140,1.40000,0.12000,1
allows,2.00000,0.15000,1.90000,0.23000,1.60000,0.08000,1
almost,1.50000,0.35000,1.66670,0.00330,1.80000,0.28000,1
alone,1.00000,0.85000,1.45450,0.21550,2.20000,0.68000,1
along,1.85710,0.00710,1.50000,0.17000,2.00000,0.48000,1
alongside,1.87500,0.02500,1.36360,0.30640,2.20000,0.68000,1
aloud,2.00000,0.15000,1.88890,0.21890,1.80000,0.28000,1
already,1.77780,0.07220,1.50000,0.17000,1.40000,0.12000,1
alright,2.20000,0.35000,1.50000,0.17000,1.60000,0.08000,1
also,1.80000,0.05000,1.37500,0.29500,1.20000,0.32000,1
alter,1.75000,0.10000,2.00000,0.33000,2.60000,1.08000,1
altered,1.66670,0.18330,2.08330,0.41330,2.00000,0.48000,1
alternate,1.85710,0.00710,2.00000,0.33000,1.80000,0.28000,1
alternative,1.71430,0.13570,1.70000,0.03000,1.80000,0.28000,1
alternatives,1.87500,0.02500,1.72730,0.05730,1.80000,0.28000,1
alters,1.57140,0.27860,1.90000,0.23000,2.40000,0.88000,1
although,1.87500,0.02500,1.63640,0.03360,1.40000,0.12000,1
altogether,2.50000,0.65000,2.11110,0.44110,2.20000,0.68000,1
aluminum,1.50000,0.35000,1.42860,0.24140,3.00000,1.48000,1
always,2.00000,0.15000,1.33330,0.33670,1.40000,0.12000,1
am,2.25000,0.40000,1.42860,0.24140,1.00000,0.52000,1
amateur,1.00000,0.85000,1.71430,0.04430,2.60000,1.08000,1
amazed,2.55560,0.70560,2.41670,0.74670,2.00000,0.48000,1
amazement,2.42860,0.57860,2.30000,0.63000,2.20000,0.68000,1
amazing,2.25000,0.40000,2.00000,0.33000,1.60000,0.08000,1
ambassador,2.14290,0.29290,1.90000,0.23000,2.80000,1.28000,1
